state,price,temperature
Alaska,356895.4125490196,13.308705882352942
Arizona,540206.5760811053,37.710915724624684
Arkansas,245891.45246329528,31.688606851549757
California,1102781.127756389,27.63093391184719
Colorado,885792.5487113302,31.623462004771405
Connecticut,809000.0,38.9
Hawaii,1238062.1946140598,28.21230624706435
Idaho,754464.3249895844,29.943575751562655
Illinois,342646.15206322394,31.160002413127412
Iowa,189558.39303482586,31.041293532338308
Kansas,343216.70739992656,33.92454094748439
Louisiana,302046.4229848746,32.141326823664556
Maine,9500.0,20.6
Missouri,312319.3263581635,32.061601508667586
Nebraska,313667.28214188636,30.345977167708618
Nevada,628275.2397264735,37.31912732009117
New Jersey,2795000.0,19.4
New Mexico,338700.6231017929,37.234329381796805
Oklahoma,312922.48662609234,33.4161100707449
Oregon,608905.832570413,23.992783671710917
Texas,500521.56594854087,34.10445301045263
Utah,1104271.667381016,35.297981421936406
Washington,734642.8904553734,21.265151183970858
Wyoming,656286.3176643408,27.08486962908557
